Geschlecht;Groesse;Alter;Gewicht;Betaetigung;Einordnung
w;157;50;130;Kraftsport;Uebergewicht
m;177;23;92;Ausdauersport;Normalgewicht
w;170;61;74;Kraftsport;Normalgewicht
m;180;50;88;Ausdauersport;Normalgewicht
w;166;73;121;keinSport;Uebergewicht
w;167;57;62;Kraftsport;Untergewicht
m;183;29;96;Ausdauersport;Normalgewicht
m;169;21;92;Kraftsport;Uebergewicht
m;199;40;175;keinSport;Uebergewicht
m;179;50;90;keinSport;Normalgewicht
w;169;45;70;keinSport;Normalgewicht
w;185;43;99;keinSport;Uebergewicht
m;183;39;104;Ausdauersport;Uebergewicht
w;168;27;106;Ausdauersport;Uebergewicht
w;156;29;80;keinSport;Uebergewicht
w;164;21;72;Ausdauersport;Normalgewicht
m;158;68;77;Ausdauersport;Uebergewicht
w;161;36;75;keinSport;Uebergewicht
m;176;50;60;keinSport;Untergewicht
w;163;45;100;keinSport;Uebergewicht
m;175;20;78;Ausdauersport;Normalgewicht
w;159;43;80;keinSport;Uebergewicht
w;168;28;95;Ausdauersport;Uebergewicht
w;172;85;138;keinSport;Uebergewicht
m;169;36;93;keinSport;Uebergewicht
w;166;36;66;keinSport;Normalgewicht
m;173;31;111;keinSport;Uebergewicht
w;164;23;67;keinSport;Uebergewicht
w;162;60;116;keinSport;Uebergewicht
m;174;57;104;Kraftsport;Uebergewicht
w;159;46;149;Ausdauersport;Uebergewicht
m;158;51;102;keinSport;Uebergewicht
m;181;42;153;keinSport;Uebergewicht
m;178;47;90;keinSport;Uebergewicht
w;163;74;61;Kraftsport;Untergewicht
w;170;23;75;Kraftsport;Normalgewicht
w;171;39;57;keinSport;Untergewicht
w;166;55;87;keinSport;Uebergewicht
w;159;19;93;Ausdauersport;Uebergewicht
m;161;50;69;keinSport;Normalgewicht
m;158;42;68;keinSport;Normalgewicht
w;178;59;109;keinSport;Uebergewicht
w;157;20;55;keinSport;Normalgewicht
w;157;36;118;keinSport;Uebergewicht
m;172;49;70;keinSport;Normalgewicht
m;170;61;54;Ausdauersport;Untergewicht
w;169;45;68;Ausdauersport;Normalgewicht
m;180;61;118;Ausdauersport;Uebergewicht
m;186;32;97;keinSport;Uebergewicht
m;181;59;109;Kraftsport;Uebergewicht
m;164;22;78;keinSport;Uebergewicht
w;169;32;95;keinSport;Uebergewicht
w;162;83;123;Kraftsport;Uebergewicht
m;175;48;93;Kraftsport;Uebergewicht
m;175;21;69;Ausdauersport;Normalgewicht
m;169;90;57;keinSport;Untergewicht
m;189;31;165;keinSport;Uebergewicht
w;158;57;67;Ausdauersport;Normalgewicht
w;169;33;91;keinSport;Uebergewicht
m;167;34;102;keinSport;Uebergewicht
m;181;53;111;Ausdauersport;Uebergewicht
m;182;72;76;Ausdauersport;Untergewicht
m;172;44;80;Kraftsport;Uebergewicht
w;167;26;81;keinSport;Uebergewicht
w;161;55;77;keinSport;Uebergewicht
m;169;30;64;Ausdauersport;Normalgewicht
m;165;19;82;Ausdauersport;Normalgewicht
m;177;55;131;Kraftsport;Uebergewicht
m;165;46;104;keinSport;Uebergewicht
w;165;23;56;Kraftsport;Normalgewicht
w;170;24;76;keinSport;Uebergewicht
w;160;84;67;keinSport;Normalgewicht
w;161;47;90;Kraftsport;Uebergewicht
w;163;76;89;Ausdauersport;Uebergewicht
m;172;20;70;Ausdauersport;Normalgewicht
m;184;33;90;keinSport;Uebergewicht
w;166;29;62;keinSport;Normalgewicht
m;169;49;123;Kraftsport;Uebergewicht
m;184;73;100;Kraftsport;Normalgewicht
w;160;70;81;Kraftsport;Normalgewicht
m;168;36;65;keinSport;Normalgewicht
w;172;59;109;keinSport;Uebergewicht
w;173;34;93;Ausdauersport;Uebergewicht
m;172;57;101;Kraftsport;Uebergewicht
m;188;53;95;Ausdauersport;Normalgewicht
w;167;65;99;keinSport;Uebergewicht
m;191;70;79;Ausdauersport;Normalgewicht
w;167;68;83;keinSport;Normalgewicht
w;158;77;82;Ausdauersport;Uebergewicht
w;157;62;96;Kraftsport;Uebergewicht
m;163;58;86;Ausdauersport;Uebergewicht
w;171;51;106;keinSport;Uebergewicht
w;166;26;75;Ausdauersport;Normalgewicht
w;162;79;92;keinSport;Uebergewicht
m;170;45;63;keinSport;Untergewicht
m;172;62;82;keinSport;Normalgewicht
m;182;85;94;keinSport;Normalgewicht
w;173;54;161;Kraftsport;Uebergewicht
m;173;74;115;Ausdauersport;Uebergewicht
m;166;59;116;keinSport;Uebergewicht
m;175;38;89;Ausdauersport;Normalgewicht
w;162;20;99;keinSport;Uebergewicht
w;162;47;146;Ausdauersport;Uebergewicht
w;157;43;85;keinSport;Uebergewicht
w;164;72;85;Ausdauersport;Uebergewicht
m;172;35;154;keinSport;Uebergewicht
w;159;19;127;keinSport;Uebergewicht
m;195;18;111;Ausdauersport;Normalgewicht
w;169;56;106;Kraftsport;Uebergewicht
w;159;72;110;keinSport;Uebergewicht
m;187;54;119;keinSport;Uebergewicht
w;167;61;73;Kraftsport;Normalgewicht
m;162;57;80;keinSport;Uebergewicht
w;162;57;84;keinSport;Uebergewicht
w;161;62;75;keinSport;Uebergewicht
w;159;79;66;Ausdauersport;Normalgewicht
m;163;26;73;Kraftsport;Normalgewicht
m;178;21;74;keinSport;Normalgewicht
m;180;57;84;Kraftsport;Normalgewicht
w;165;46;57;Ausdauersport;Normalgewicht
m;182;35;97;keinSport;Uebergewicht
m;173;63;107;Kraftsport;Uebergewicht
m;167;27;72;keinSport;Normalgewicht
m;172;44;61;Ausdauersport;Untergewicht
w;174;60;75;keinSport;Normalgewicht
w;166;89;56;Ausdauersport;Untergewicht
w;176;19;88;keinSport;Uebergewicht
m;179;21;112;keinSport;Uebergewicht
w;166;55;133;keinSport;Uebergewicht
w;155;30;130;keinSport;Uebergewicht
m;185;49;97;keinSport;Uebergewicht
m;189;25;99;Ausdauersport;Normalgewicht
w;171;74;114;keinSport;Uebergewicht
w;173;66;85;Kraftsport;Normalgewicht
m;169;75;54;Kraftsport;Untergewicht
w;162;56;78;Ausdauersport;Uebergewicht
m;171;49;77;Ausdauersport;Normalgewicht
w;173;40;96;Kraftsport;Uebergewicht
w;168;22;52;Ausdauersport;Untergewicht
m;160;27;87;keinSport;Uebergewicht
w;172;47;76;Kraftsport;Normalgewicht
m;182;58;100;Ausdauersport;Uebergewicht
w;163;60;86;Kraftsport;Normalgewicht
m;169;49;67;Ausdauersport;Normalgewicht
w;165;49;76;Ausdauersport;Normalgewicht
w;151;59;59;Ausdauersport;Normalgewicht
w;167;52;88;keinSport;Uebergewicht
m;171;23;97;keinSport;Uebergewicht
m;171;30;93;Kraftsport;Normalgewicht
w;159;31;110;keinSport;Uebergewicht
w;157;74;63;Ausdauersport;Normalgewicht
m;171;56;88;keinSport;Uebergewicht
w;159;59;62;keinSport;Normalgewicht
m;166;56;152;Kraftsport;Uebergewicht
w;168;80;151;keinSport;Uebergewicht
m;182;55;98;Kraftsport;Uebergewicht
w;164;60;80;keinSport;Uebergewicht
m;186;29;166;Kraftsport;Uebergewicht
w;169;45;102;Kraftsport;Uebergewicht
m;180;20;75;keinSport;Normalgewicht
w;176;75;90;Ausdauersport;Normalgewicht
w;163;58;101;Kraftsport;Uebergewicht
w;153;45;57;Kraftsport;Normalgewicht
w;175;58;110;keinSport;Uebergewicht
m;173;49;99;keinSport;Uebergewicht
w;174;48;164;keinSport;Uebergewicht
w;164;63;93;keinSport;Uebergewicht
m;179;80;84;keinSport;Normalgewicht
m;178;45;82;keinSport;Normalgewicht
m;165;53;59;keinSport;Untergewicht
w;165;24;83;keinSport;Uebergewicht
m;158;49;106;keinSport;Uebergewicht
w;171;55;66;keinSport;Untergewicht
w;159;95;84;keinSport;Uebergewicht
w;175;24;118;keinSport;Uebergewicht
w;189;48;98;keinSport;Uebergewicht
w;170;45;137;keinSport;Uebergewicht
m;181;83;74;keinSport;Untergewicht
m;174;48;73;keinSport;Normalgewicht
m;172;78;80;keinSport;Normalgewicht
w;162;51;113;Kraftsport;Uebergewicht
w;158;47;54;Ausdauersport;Normalgewicht
w;157;46;80;keinSport;Uebergewicht
w;158;78;92;keinSport;Uebergewicht
m;170;32;69;Ausdauersport;Normalgewicht
m;186;75;79;keinSport;Untergewicht
m;177;79;108;keinSport;Uebergewicht
w;172;38;79;keinSport;Uebergewicht
m;178;45;165;keinSport;Uebergewicht
w;168;75;99;keinSport;Uebergewicht
w;166;22;75;Kraftsport;Normalgewicht
w;173;35;55;Ausdauersport;Normalgewicht
m;186;73;101;keinSport;Normalgewicht
m;173;65;98;Kraftsport;Normalgewicht
m;174;21;88;Ausdauersport;Normalgewicht
w;178;22;152;Kraftsport;Uebergewicht
w;169;48;64;keinSport;Normalgewicht
m;166;44;63;Kraftsport;Normalgewicht
m;173;76;85;Kraftsport;Normalgewicht
m;168;47;92;Kraftsport;Uebergewicht
m;155;52;100;Ausdauersport;Uebergewicht
w;166;39;71;Ausdauersport;Normalgewicht
w;162;78;82;Kraftsport;Uebergewicht
m;180;60;102;Kraftsport;Normalgewicht
w;161;71;83;keinSport;Uebergewicht
w;158;64;161;keinSport;Uebergewicht
w;160;18;59;keinSport;Normalgewicht
w;166;55;61;keinSport;Untergewicht
w;162;41;61;keinSport;Normalgewicht
m;186;45;105;Kraftsport;Normalgewicht
w;165;52;88;Kraftsport;Normalgewicht
m;168;83;66;Kraftsport;Untergewicht
w;158;59;82;Kraftsport;Uebergewicht
m;166;58;76;keinSport;Normalgewicht
m;186;24;120;Kraftsport;Uebergewicht
w;167;64;160;keinSport;Uebergewicht
w;162;34;146;keinSport;Uebergewicht
m;171;53;167;keinSport;Uebergewicht
w;172;41;104;keinSport;Uebergewicht
w;177;71;89;Kraftsport;Normalgewicht
m;170;57;131;keinSport;Uebergewicht
w;161;57;62;Ausdauersport;Normalgewicht
w;171;45;73;Kraftsport;Normalgewicht
w;169;64;78;Kraftsport;Normalgewicht
m;177;35;90;keinSport;Uebergewicht
m;167;33;66;keinSport;Normalgewicht
w;177;32;84;keinSport;Uebergewicht
m;182;86;82;keinSport;Untergewicht
w;165;38;110;keinSport;Uebergewicht
w;160;27;78;Kraftsport;Uebergewicht
m;175;44;83;Ausdauersport;Normalgewicht
w;167;27;84;keinSport;Uebergewicht
m;176;66;67;keinSport;Untergewicht
m;183;25;91;Ausdauersport;Normalgewicht
m;164;33;96;Ausdauersport;Uebergewicht
m;181;49;88;Ausdauersport;Normalgewicht
w;176;34;91;Ausdauersport;Normalgewicht
m;182;59;84;Kraftsport;Normalgewicht
m;173;73;84;keinSport;Normalgewicht
w;171;48;67;keinSport;Normalgewicht
w;162;42;68;Kraftsport;Uebergewicht
m;175;18;144;Kraftsport;Uebergewicht
w;163;79;97;keinSport;Uebergewicht
m;157;49;83;keinSport;Uebergewicht
m;166;36;65;Ausdauersport;Normalgewicht
m;177;57;94;Ausdauersport;Normalgewicht
m;175;51;139;keinSport;Uebergewicht
m;168;70;75;Kraftsport;Normalgewicht
m;177;32;98;Kraftsport;Normalgewicht
m;181;28;72;Kraftsport;Normalgewicht
m;180;27;85;Ausdauersport;Normalgewicht
w;157;63;92;Ausdauersport;Uebergewicht
m;183;37;83;Ausdauersport;Normalgewicht
w;170;75;163;keinSport;Uebergewicht
m;182;58;65;keinSport;Untergewicht
w;170;59;76;keinSport;Normalgewicht
w;159;20;85;Kraftsport;Uebergewicht
w;169;22;83;keinSport;Uebergewicht
w;167;29;114;Ausdauersport;Uebergewicht
w;160;37;89;Kraftsport;Uebergewicht
w;169;56;74;Ausdauersport;Normalgewicht
m;173;23;117;Kraftsport;Uebergewicht
w;172;43;53;keinSport;Untergewicht
m;165;39;96;Kraftsport;Uebergewicht
m;175;39;63;keinSport;Untergewicht
w;172;19;84;Ausdauersport;Normalgewicht
m;182;38;63;Kraftsport;Untergewicht
m;178;50;112;keinSport;Uebergewicht
w;161;43;77;Kraftsport;Uebergewicht
w;175;32;158;Kraftsport;Uebergewicht
m;176;59;83;Kraftsport;Normalgewicht
m;193;59;112;keinSport;Uebergewicht
w;157;73;80;keinSport;Uebergewicht
w;161;67;70;Kraftsport;Normalgewicht
w;166;63;112;keinSport;Uebergewicht
w;165;29;55;Ausdauersport;Normalgewicht
w;162;54;88;keinSport;Uebergewicht
w;163;57;161;keinSport;Uebergewicht
m;180;54;87;keinSport;Normalgewicht
w;171;66;85;keinSport;Normalgewicht
m;170;23;80;Kraftsport;Normalgewicht
m;159;65;93;keinSport;Uebergewicht
m;175;37;93;keinSport;Uebergewicht
m;181;72;110;keinSport;Uebergewicht
w;206;40;113;Kraftsport;Uebergewicht
m;169;51;110;Kraftsport;Uebergewicht
w;175;52;103;Kraftsport;Uebergewicht
m;173;46;49;Kraftsport;Untergewicht
m;174;75;105;Ausdauersport;Uebergewicht
m;180;77;63;keinSport;Untergewicht
m;170;47;91;Ausdauersport;Uebergewicht
m;177;36;119;keinSport;Uebergewicht
m;195;50;95;keinSport;Normalgewicht
m;165;43;81;keinSport;Uebergewicht
w;156;40;58;Ausdauersport;Normalgewicht
m;174;64;96;keinSport;Uebergewicht
w;155;30;67;Kraftsport;Uebergewicht
w;161;60;98;Kraftsport;Uebergewicht
w;163;50;91;Kraftsport;Uebergewicht
m;169;33;123;keinSport;Uebergewicht
m;179;50;82;keinSport;Normalgewicht
w;169;19;80;keinSport;Uebergewicht
m;179;33;85;keinSport;Uebergewicht
m;180;55;172;keinSport;Uebergewicht
w;171;41;92;Ausdauersport;Uebergewicht
w;165;64;122;Ausdauersport;Uebergewicht
m;167;43;157;keinSport;Uebergewicht
w;167;43;60;Ausdauersport;Normalgewicht
m;176;27;82;keinSport;Uebergewicht
m;166;24;104;keinSport;Uebergewicht
w;164;49;72;keinSport;Normalgewicht
m;181;73;116;keinSport;Uebergewicht
m;183;73;111;keinSport;Uebergewicht
w;170;25;57;keinSport;Untergewicht
m;172;40;83;Ausdauersport;Normalgewicht
m;173;66;96;keinSport;Uebergewicht
w;165;38;55;keinSport;Untergewicht
w;164;43;151;Kraftsport;Uebergewicht
m;180;54;101;Kraftsport;Uebergewicht
w;172;54;109;keinSport;Uebergewicht
w;169;59;138;keinSport;Uebergewicht
w;158;51;73;Ausdauersport;Normalgewicht
w;164;53;93;keinSport;Uebergewicht
m;173;55;95;keinSport;Uebergewicht
w;164;41;73;Ausdauersport;Normalgewicht
w;173;62;165;keinSport;Uebergewicht
w;172;36;143;keinSport;Uebergewicht
w;160;20;67;keinSport;Uebergewicht
w;175;31;92;keinSport;Uebergewicht
m;180;73;107;keinSport;Uebergewicht
w;167;45;93;keinSport;Uebergewicht
m;175;41;66;keinSport;Untergewicht
m;175;19;88;Kraftsport;Normalgewicht
w;163;63;73;Ausdauersport;Normalgewicht
m;186;32;79;keinSport;Normalgewicht
w;162;50;73;keinSport;Uebergewicht
w;173;38;91;Ausdauersport;Uebergewicht
w;165;63;85;Ausdauersport;Uebergewicht
w;156;37;60;keinSport;Normalgewicht
w;165;63;105;keinSport;Uebergewicht
w;174;49;103;keinSport;Uebergewicht
m;178;62;76;keinSport;Normalgewicht
m;171;72;100;keinSport;Uebergewicht
m;179;34;79;keinSport;Normalgewicht
w;166;48;89;Kraftsport;Normalgewicht
m;169;52;102;Kraftsport;Uebergewicht
w;170;44;90;Ausdauersport;Uebergewicht
w;164;33;83;keinSport;Uebergewicht
w;166;69;110;keinSport;Uebergewicht
w;165;86;54;keinSport;Untergewicht
w;159;48;88;keinSport;Uebergewicht
m;176;48;96;Ausdauersport;Uebergewicht
w;158;52;59;keinSport;Normalgewicht
w;166;56;121;Ausdauersport;Uebergewicht
m;171;26;61;keinSport;Untergewicht
m;199;65;122;Kraftsport;Normalgewicht
w;172;25;77;keinSport;Uebergewicht
w;168;20;71;keinSport;Uebergewicht
w;165;30;71;keinSport;Uebergewicht
w;165;58;145;Kraftsport;Uebergewicht
w;168;58;87;keinSport;Uebergewicht
m;179;73;89;Kraftsport;Normalgewicht
m;183;19;82;keinSport;Normalgewicht
m;175;50;110;Kraftsport;Uebergewicht
w;156;24;72;keinSport;Uebergewicht
w;174;82;101;keinSport;Uebergewicht
m;181;24;115;keinSport;Uebergewicht
w;154;65;150;keinSport;Uebergewicht
m;169;65;94;Kraftsport;Uebergewicht
m;166;25;87;Ausdauersport;Uebergewicht
m;168;45;84;Ausdauersport;Normalgewicht
w;165;58;95;keinSport;Uebergewicht
m;185;48;62;keinSport;Untergewicht
m;161;58;88;keinSport;Uebergewicht
w;158;67;87;Kraftsport;Uebergewicht
w;172;49;115;Ausdauersport;Uebergewicht
w;167;37;113;Ausdauersport;Uebergewicht
w;181;23;81;keinSport;Uebergewicht
w;192;72;79;Ausdauersport;Untergewicht
w;180;51;118;Ausdauersport;Uebergewicht
m;167;62;123;Ausdauersport;Uebergewicht
m;163;42;75;Ausdauersport;Normalgewicht
m;169;50;78;keinSport;Normalgewicht
m;179;70;102;Ausdauersport;Uebergewicht
w;157;61;75;Kraftsport;Uebergewicht
m;177;70;93;keinSport;Normalgewicht
w;167;59;107;keinSport;Uebergewicht
m;179;69;174;keinSport;Uebergewicht
m;196;59;107;Ausdauersport;Normalgewicht
m;172;52;95;Ausdauersport;Uebergewicht
w;169;19;65;keinSport;Normalgewicht
w;164;81;64;Kraftsport;Untergewicht
w;157;20;100;keinSport;Uebergewicht
w;156;73;141;Kraftsport;Uebergewicht
w;158;54;150;keinSport;Uebergewicht
m;171;27;88;keinSport;Uebergewicht
m;163;26;65;keinSport;Normalgewicht
w;165;46;62;keinSport;Normalgewicht
w;158;53;68;keinSport;Normalgewicht
m;180;64;162;keinSport;Uebergewicht
m;183;29;74;Kraftsport;Normalgewicht
w;164;48;115;Kraftsport;Uebergewicht
w;160;70;100;Kraftsport;Uebergewicht
m;178;44;74;Ausdauersport;Normalgewicht
w;159;32;85;Ausdauersport;Uebergewicht
w;159;30;54;Ausdauersport;Normalgewicht
w;161;29;111;keinSport;Uebergewicht
w;167;49;89;keinSport;Uebergewicht
w;169;82;71;keinSport;Untergewicht
w;174;32;85;keinSport;Uebergewicht
m;165;40;98;keinSport;Uebergewicht
w;169;59;123;keinSport;Uebergewicht
w;157;58;151;Ausdauersport;Uebergewicht
m;161;60;72;Ausdauersport;Normalgewicht
m;179;75;89;Ausdauersport;Normalgewicht
m;166;38;69;Ausdauersport;Normalgewicht
w;175;20;86;keinSport;Uebergewicht
w;154;39;89;Kraftsport;Uebergewicht
m;172;54;57;keinSport;Untergewicht
w;155;58;67;keinSport;Normalgewicht
w;162;45;89;Ausdauersport;Uebergewicht
m;189;54;80;keinSport;Untergewicht
m;183;60;109;keinSport;Uebergewicht
w;158;61;150;keinSport;Uebergewicht
m;174;42;102;keinSport;Uebergewicht
w;163;49;91;keinSport;Uebergewicht
w;166;35;89;keinSport;Uebergewicht
m;181;41;85;Kraftsport;Normalgewicht
m;173;47;99;keinSport;Uebergewicht
w;164;49;96;Kraftsport;Uebergewicht
m;182;77;119;Kraftsport;Uebergewicht
w;162;42;78;keinSport;Uebergewicht
m;172;62;98;Kraftsport;Uebergewicht
w;173;37;158;Kraftsport;Uebergewicht
w;165;42;71;keinSport;Uebergewicht
w;166;52;154;keinSport;Uebergewicht
w;165;59;130;Kraftsport;Uebergewicht
m;195;29;78;keinSport;Untergewicht
w;170;37;125;keinSport;Uebergewicht
m;163;56;148;keinSport;Uebergewicht
m;171;48;71;keinSport;Normalgewicht
w;153;36;66;Ausdauersport;Normalgewicht
w;161;45;88;keinSport;Uebergewicht
w;172;28;88;Ausdauersport;Normalgewicht
w;168;34;74;Ausdauersport;Normalgewicht
w;169;56;68;Ausdauersport;Normalgewicht
w;162;36;90;keinSport;Uebergewicht
w;158;54;58;Kraftsport;Normalgewicht
m;165;70;102;keinSport;Uebergewicht
w;155;70;103;Kraftsport;Uebergewicht
w;169;50;71;keinSport;Normalgewicht
w;171;33;100;Ausdauersport;Uebergewicht
m;167;50;159;keinSport;Uebergewicht
m;177;41;131;keinSport;Uebergewicht
w;163;46;139;Kraftsport;Uebergewicht
m;187;34;79;keinSport;Normalgewicht
m;180;59;109;keinSport;Uebergewicht
m;178;63;95;Ausdauersport;Normalgewicht
m;172;48;105;keinSport;Uebergewicht
m;174;42;103;Kraftsport;Uebergewicht
w;160;60;86;Kraftsport;Uebergewicht
w;170;24;80;Ausdauersport;Normalgewicht
m;177;79;72;Ausdauersport;Normalgewicht
w;169;68;88;keinSport;Uebergewicht
w;161;42;56;Kraftsport;Normalgewicht
w;160;54;91;keinSport;Uebergewicht
w;165;29;56;Kraftsport;Normalgewicht
m;173;55;102;keinSport;Uebergewicht
w;166;56;69;keinSport;Normalgewicht
m;180;51;111;Kraftsport;Uebergewicht
m;172;40;89;keinSport;Uebergewicht
m;185;47;80;Kraftsport;Normalgewicht
w;171;28;108;Kraftsport;Uebergewicht
m;178;18;85;Ausdauersport;Normalgewicht
w;158;40;54;keinSport;Normalgewicht
w;163;73;82;keinSport;Uebergewicht
m;176;41;72;Ausdauersport;Normalgewicht
w;164;79;99;keinSport;Uebergewicht
m;163;69;102;Ausdauersport;Uebergewicht
m;178;60;106;Kraftsport;Uebergewicht
w;163;64;98;keinSport;Uebergewicht
w;174;50;102;keinSport;Uebergewicht
m;175;22;65;Kraftsport;Normalgewicht
w;163;41;69;Ausdauersport;Uebergewicht
m;185;31;70;keinSport;Untergewicht
m;162;35;120;keinSport;Uebergewicht
w;166;33;79;Ausdauersport;Normalgewicht
w;161;65;93;keinSport;Uebergewicht
m;174;83;102;keinSport;Uebergewicht
w;165;25;143;keinSport;Uebergewicht
w;158;34;64;Ausdauersport;Normalgewicht
m;173;67;134;Ausdauersport;Uebergewicht
w;176;26;83;Kraftsport;Normalgewicht
w;161;41;72;keinSport;Uebergewicht
m;180;51;86;keinSport;Normalgewicht
m;185;56;76;Kraftsport;Untergewicht
m;188;61;88;keinSport;Normalgewicht
w;168;45;96;Kraftsport;Uebergewicht
m;164;61;97;Kraftsport;Uebergewicht
m;181;35;60;keinSport;Untergewicht
m;171;62;79;Ausdauersport;Normalgewicht
w;174;59;163;Ausdauersport;Uebergewicht
w;164;31;100;Kraftsport;Uebergewicht
w;169;29;91;keinSport;Uebergewicht
w;162;48;107;Kraftsport;Uebergewicht
w;165;19;60;Ausdauersport;Normalgewicht
w;157;60;82;keinSport;Uebergewicht
m;189;32;105;keinSport;Uebergewicht
m;178;38;66;keinSport;Untergewicht
m;164;46;84;Ausdauersport;Uebergewicht
m;172;46;123;keinSport;Uebergewicht
m;164;70;93;keinSport;Uebergewicht
w;168;61;154;keinSport;Uebergewicht
m;179;32;74;keinSport;Normalgewicht
w;162;74;106;keinSport;Uebergewicht
w;155;56;99;keinSport;Uebergewicht
w;179;59;177;Kraftsport;Uebergewicht
w;185;40;60;Ausdauersport;Untergewicht
w;162;35;95;Ausdauersport;Uebergewicht
m;187;26;112;keinSport;Uebergewicht
w;161;59;105;keinSport;Uebergewicht
m;173;66;78;keinSport;Normalgewicht
w;159;75;107;keinSport;Uebergewicht
w;163;23;73;Kraftsport;Normalgewicht
m;183;21;73;Ausdauersport;Normalgewicht
m;181;52;96;Ausdauersport;Normalgewicht
w;156;48;140;keinSport;Uebergewicht
w;160;50;77;Ausdauersport;Uebergewicht
m;171;45;61;Ausdauersport;Untergewicht
m;165;25;70;Ausdauersport;Normalgewicht
w;160;47;53;Ausdauersport;Normalgewicht
m;181;18;115;keinSport;Uebergewicht
m;183;31;97;Kraftsport;Normalgewicht
m;183;38;76;keinSport;Normalgewicht
m;172;79;94;keinSport;Uebergewicht
m;175;37;77;keinSport;Normalgewicht
m;170;50;90;keinSport;Uebergewicht
m;165;77;103;keinSport;Uebergewicht
m;172;40;80;Ausdauersport;Normalgewicht
w;165;33;75;Ausdauersport;Normalgewicht
m;171;35;75;Ausdauersport;Normalgewicht
m;176;58;74;Ausdauersport;Normalgewicht
m;164;40;60;keinSport;Normalgewicht
w;167;76;138;keinSport;Uebergewicht
w;177;44;75;Kraftsport;Normalgewicht
w;180;39;59;Ausdauersport;Untergewicht
m;166;62;89;keinSport;Uebergewicht
w;180;29;128;Kraftsport;Uebergewicht
m;183;54;93;Kraftsport;Normalgewicht
w;156;81;71;keinSport;Normalgewicht
m;182;46;90;Kraftsport;Normalgewicht
m;170;34;59;keinSport;Untergewicht
w;169;52;96;keinSport;Uebergewicht
m;192;50;68;keinSport;Untergewicht
m;195;50;161;keinSport;Uebergewicht
w;163;18;80;keinSport;Uebergewicht
m;170;46;96;Kraftsport;Uebergewicht
m;173;20;75;keinSport;Uebergewicht
m;184;40;117;Kraftsport;Uebergewicht
m;182;53;103;Ausdauersport;Uebergewicht
m;181;34;98;keinSport;Uebergewicht
w;155;36;75;Kraftsport;Uebergewicht
w;163;30;61;keinSport;Normalgewicht
m;175;34;66;Kraftsport;Normalgewicht
w;161;39;73;Ausdauersport;Normalgewicht
w;170;59;84;Ausdauersport;Normalgewicht
m;179;61;98;keinSport;Uebergewicht
m;180;20;88;keinSport;Uebergewicht
m;175;30;64;keinSport;Untergewicht
m;159;63;98;keinSport;Uebergewicht
w;167;22;67;Ausdauersport;Normalgewicht
m;177;59;77;Kraftsport;Normalgewicht
w;164;47;77;keinSport;Uebergewicht
m;169;23;77;keinSport;Uebergewicht
w;161;75;58;keinSport;Untergewicht
m;175;52;75;keinSport;Normalgewicht
m;165;45;139;Kraftsport;Uebergewicht
m;180;76;117;Ausdauersport;Uebergewicht
m;175;20;77;keinSport;Uebergewicht
m;171;59;78;Kraftsport;Normalgewicht
m;177;56;140;Kraftsport;Uebergewicht
m;179;45;165;Ausdauersport;Uebergewicht
m;171;45;62;Ausdauersport;Normalgewicht
w;159;48;74;keinSport;Uebergewicht
m;165;33;72;Ausdauersport;Normalgewicht
w;163;46;102;Kraftsport;Uebergewicht
w;176;64;97;keinSport;Uebergewicht
m;164;47;53;Ausdauersport;Untergewicht
m;168;20;60;keinSport;Normalgewicht
m;176;45;108;Kraftsport;Uebergewicht
w;167;58;106;Ausdauersport;Uebergewicht
w;169;29;82;keinSport;Uebergewicht
m;176;37;89;Kraftsport;Uebergewicht
w;157;64;102;keinSport;Uebergewicht
m;174;53;85;Kraftsport;Uebergewicht
m;176;31;152;Kraftsport;Uebergewicht
m;187;30;65;keinSport;Untergewicht
m;172;37;94;keinSport;Uebergewicht
w;163;34;63;Kraftsport;Normalgewicht
w;168;45;77;Ausdauersport;Normalgewicht
m;160;45;64;Ausdauersport;Normalgewicht
w;167;57;97;Kraftsport;Uebergewicht
m;189;53;114;keinSport;Uebergewicht
m;194;53;84;keinSport;Untergewicht
m;178;30;154;keinSport;Uebergewicht
w;176;59;62;Kraftsport;Untergewicht
m;173;23;72;keinSport;Normalgewicht
m;203;43;105;Kraftsport;Normalgewicht
m;175;37;124;Kraftsport;Uebergewicht
m;172;44;112;keinSport;Uebergewicht
w;155;44;66;keinSport;Uebergewicht
w;168;59;99;keinSport;Uebergewicht
w;158;35;84;keinSport;Uebergewicht
m;180;59;111;keinSport;Uebergewicht
w;175;69;102;keinSport;Uebergewicht
w;162;55;74;keinSport;Uebergewicht
w;169;47;108;Kraftsport;Uebergewicht
m;160;44;82;Kraftsport;Normalgewicht
m;177;74;69;Ausdauersport;Untergewicht
m;180;66;73;keinSport;Untergewicht
w;163;49;88;Kraftsport;Uebergewicht
w;164;75;97;Ausdauersport;Uebergewicht
m;171;63;76;keinSport;Normalgewicht
w;170;64;93;Ausdauersport;Uebergewicht
m;177;44;92;keinSport;Uebergewicht
w;156;53;57;keinSport;Normalgewicht
w;166;55;145;keinSport;Uebergewicht
w;182;50;75;Ausdauersport;Normalgewicht
w;172;23;86;keinSport;Uebergewicht
w;167;35;147;keinSport;Uebergewicht
w;171;64;95;Ausdauersport;Uebergewicht
